"SP","N","S","storeClosing","nClosed"
"1976:05:31",89,-126,0,0
"1976:06:10",99,-121,0,0
"1976:06:20",107,-114,1,1
"1976:06:30",117,-107,0,0
"1976:07:10",119,-99,0,0
"1976:07:20",128,-97,0,0
"1976:07:30",135,-94,0,0
"1976:08:09",139,-81,0,0
"1976:08:19",118,-80,1,1
"1976:08:29",117,-66,1,1
"1976:09:08",121,-62,0,0
"1976:09:18",132,-56,0,0
"1976:09:28",129,-62,0,0
"1976:10:08",122,-67,0,0
"1976:10:18",113,-69,0,0
"1976:10:28",103,-82,0,0
"1976:11:07",95,-88,0,0
"1976:11:17",88,-95,0,0
"1976:11:27",86,-107,0,0
"1976:12:07",89,-107,0,0
"1976:12:17",86,-110,0,0
"1976:12:27",75,-111,0,0
"1977:01:06",58,-112,0,0
"1977:01:16",52,-97,0,0
"1977:01:26",44,-81,0,0
"1977:02:05",52,-104,0,0
"1977:02:15",55,-112,0,0
"1977:02:25",58,-127,0,0
"1977:03:07",53,-139,0,0
"1977:03:17",62,-134,0,0
"1977:03:27",56,-135,1,1
"1977:04:06",61,-132,0,0
"1977:04:16",60,-136,0,0
"1977:04:26",69,-124,0,0
"1977:05:06",76,-115,1,1
"1977:05:16",84,-119,0,0
"1977:05:26",93,-123,0,0
"1977:06:05",98,-116,0,0
"1977:06:15",96,-109,1,1
"1977:06:25",104,-103,0,0
"1977:07:05",110,-91,0,0
"1977:07:15",113,-89,0,0
"1977:07:25",112,-84,1,1
"1977:08:04",113,-82,0,0
"1977:08:14",115,-66,0,0
"1977:08:24",107,-67,0,0
"1977:09:03",110,-67,0,0
"1977:09:13",109,-71,0,0
"1977:09:23",114,-76,0,0
"1977:10:03",113,-71,1,1
"1977:10:13",117,-68,0,0
"1977:10:23",115,-72,1,1
"1977:11:02",108,-82,0,0
"1977:11:12",106,-92,0,0
"1977:11:22",106,-95,0,0
"1977:12:02",104,-103,0,0
"1977:12:12",90,-109,1,1
"1977:12:22",80,-118,0,0
"1978:01:01",56,-129,0,0
"1978:01:11",49,-137,0,0
"1978:01:21",52,-144,0,0
"1978:01:31",52,-146,0,0
"1978:02:10",56,-152,1,1
"1978:02:20",48,-152,0,0
"1978:03:02",50,-158,0,0
"1978:03:12",49,-157,1,1
"1978:03:22",54,-157,0,0
"1978:04:01",55,-149,0,0
"1978:04:11",50,-151,0,0
"1978:04:21",58,-133,0,0
"1978:05:01",66,-125,0,0
"1978:05:11",70,-117,0,0
"1978:05:21",74,-116,1,2
"1978:05:31",86,-112,0,0
"1978:06:10",93,-100,0,0
"1978:06:20",99,-93,0,0
"1978:06:30",104,-70,0,0
"1978:07:10",115,-71,0,0
"1978:07:20",114,-58,0,0
"1978:07:30",109,-46,0,0
"1978:08:09",114,-42,1,1
"1978:08:19",118,-47,0,0
"1978:08:29",117,-42,0,0
"1978:09:08",113,-36,0,0
"1978:09:18",117,-34,0,0
"1978:09:28",113,-38,1,1
"1978:10:08",105,-32,1,1
"1978:10:18",107,-31,0,0
"1978:10:28",106,-44,0,0
"1978:11:07",107,-46,1,1
"1978:11:17",84,-49,0,0
"1978:11:27",72,-49,1,1
"1978:12:07",65,-64,0,0
"1978:12:17",52,-73,0,0
"1978:12:27",46,-74,0,0
"1979:01:06",42,-95,1,1
"1979:01:16",14,-102,0,0
"1979:01:26",13,-89,0,0
"1979:02:05",10,-88,0,0
"1979:02:15",9,-90,1,1
"1979:02:25",-9,-99,1,1
"1979:03:07",-6,-98,0,0
"1979:03:17",0,-106,0,0
"1979:03:27",-6,-103,0,0
"1979:04:06",-4,-91,0,0
"1979:04:16",-3,-83,0,0
"1979:04:26",-2,-78,0,0
"1979:05:06",-1,-67,0,0
"1979:05:16",27,-63,0,0
"1979:05:26",37,-64,1,1
"1979:06:05",43,-55,0,0
"1979:06:15",58,-51,0,0
"1979:06:25",77,-47,0,0
"1979:07:05",82,-37,0,0
"1979:07:15",91,-29,0,0
"1979:07:25",99,-15,1,1
"1979:08:04",95,-17,0,0
"1979:08:14",82,-20,0,0
"1979:08:24",70,-21,0,0
"1979:09:03",70,14,0,0
"1979:09:13",66,1,0,0
"1979:09:23",68,1,1,1
"1979:10:03",69,-11,0,0
"1979:10:13",62,11,0,0
"1979:10:23",49,6,0,0
"1979:11:02",43,-2,0,0
"1979:11:12",46,19,1,1
"1979:11:22",18,9,0,0
"1979:12:02",-6,3,0,0
"1979:12:12",-16,-2,1,1
"1979:12:22",-32,-1,0,0
"1980:01:01",-34,-17,0,0
"1980:01:11",-50,-33,0,0
"1980:01:21",-48,-37,0,0
"1980:01:31",-49,-42,0,0
"1980:02:10",-36,-50,0,0
"1980:02:20",-42,-49,0,0
"1980:03:01",-68,-43,0,0
"1980:03:11",-94,-46,0,0
"1980:03:21",-81,-48,0,0
"1980:03:31",-66,-41,0,0
"1980:04:10",-44,-32,0,0
"1980:04:20",-48,-25,0,0
"1980:04:30",-52,-26,1,1
"1980:05:10",-61,-26,1,1
"1980:05:20",-65,-20,0,0
"1980:05:30",-48,-8,0,0
"1980:06:09",-41,1,0,0
"1980:06:19",-41,12,1,1
"1980:06:29",-47,15,0,0
"1980:07:09",-27,23,1,1
"1980:07:19",-30,33,0,0
"1980:07:29",-39,38,1,1
"1980:08:08",-28,42,1,1
"1980:08:18",-22,43,0,0
"1980:08:28",-24,43,0,0
"1980:09:07",-48,51,0,0
"1980:09:17",-41,57,0,0
"1980:09:27",-53,63,0,0
"1980:10:07",-57,61,0,0
"1980:10:17",-69,51,1,1
"1980:10:27",-58,52,0,0
"1980:11:06",-67,58,0,0
"1980:11:16",-71,61,0,0
"1980:11:26",-76,57,0,0
"1980:12:06",-80,56,0,0
"1980:12:16",-76,55,0,0
"1980:12:26",-71,51,0,0
"1981:01:05",-62,48,0,0
"1981:01:15",-54,37,1,1
"1981:01:25",-40,32,0,0
"1981:02:04",-38,31,0,0
"1981:02:14",-34,35,1,1
"1981:02:24",-30,35,0,0
"1981:03:06",-26,30,0,0
"1981:03:16",-16,26,0,0
"1981:03:26",-21,57,0,0
"1981:04:05",-27,58,0,0
"1981:04:15",-21,59,0,0
"1981:04:25",-18,62,1,1
"1981:05:05",-19,70,0,0
"1981:05:15",-32,79,0,0
"1981:05:25",-30,88,0,0
"1981:06:04",-31,88,0,0
"1981:06:14",-32,97,0,0
"1981:06:24",-46,97,0,0
"1981:07:04",-51,95,0,0
"1981:07:14",-54,81,0,0
"1981:07:24",-53,73,0,0
"1981:08:03",-56,67,0,0
"1981:08:13",-61,60,0,0
"1981:08:23",-60,55,0,0
"1981:09:02",-49,51,0,0
"1981:09:12",-50,40,0,0
"1981:09:22",-56,39,0,0
"1981:10:02",-56,35,0,0
"1981:10:12",-50,36,1,1
"1981:10:22",-52,45,0,0
"1981:11:01",-65,52,0,0
"1981:11:11",-60,64,1,1
"1981:11:21",-57,52,0,0
"1981:12:01",-57,48,1,1
"1981:12:11",-62,55,0,0
"1981:12:21",-50,55,0,0
"1981:12:31",-63,67,0,0
"1982:01:10",-59,71,0,0
"1982:01:20",-54,52,0,0
"1982:01:30",-43,39,0,0
"1982:02:09",-41,35,0,0
"1982:02:19",-43,38,0,0
"1982:03:01",-43,36,1,1
"1982:03:11",-44,33,0,0
"1982:03:21",-39,27,0,0
"1982:03:31",-53,43,0,0
"1982:04:10",-63,69,0,0
"1982:04:20",-65,67,1,1
"1982:04:30",-69,67,0,0
"1982:05:10",-75,63,0,0
"1982:05:20",-80,61,0,0
"1982:05:30",-76,51,0,0
"1982:06:09",-86,51,0,0
"1982:06:19",-90,44,0,0
"1982:06:29",-91,37,0,0
"1982:07:09",-89,27,0,0
"1982:07:19",-87,29,1,1
"1982:07:29",-96,37,1,1
"1982:08:08",-95,33,1,1
"1982:08:18",-102,30,0,0
"1982:08:28",-102,31,0,0
"1982:09:07",-104,23,0,0
"1982:09:17",-105,37,0,0
"1982:09:27",-109,53,1,1
"1982:10:07",-111,57,1,1
"1982:10:17",-107,56,0,0
"1982:10:27",-112,59,0,0
"1982:11:06",-112,68,0,0
"1982:11:16",-117,71,0,0
"1982:11:26",-99,78,0,0
"1982:12:06",-89,98,0,0
"1982:12:16",-88,100,0,0
"1982:12:26",-74,88,1,1
"1983:01:05",-70,92,0,0
"1983:01:15",-59,98,0,0
"1983:01:25",-50,88,0,0
"1983:02:04",-63,85,0,0
"1983:02:14",-66,85,0,0
"1983:02:24",-85,89,0,0
"1983:03:06",-54,70,0,0
"1983:03:16",-40,60,0,0
"1983:03:26",-38,52,0,0
"1983:04:05",-40,52,0,0
"1983:04:15",-41,50,1,1
"1983:04:25",-50,54,0,0
"1983:05:05",-57,50,1,1
"1983:05:15",-82,90,0,0
"1983:05:25",-87,104,0,0
"1983:06:04",-102,110,0,0
"1983:06:14",-117,93,0,0
"1983:06:24",-122,96,1,1
